event_date,checked_at,intervalo_s
2026-08-18,2026-08-18 13:02:15.551000-03:00,4.201
2026-08-18,2026-08-18 13:02:18.805000-03:00,3.254
2026-08-18,2026-08-18 13:02:20.786000-03:00,1.981
2026-08-18,2026-08-18 13:02:23.946000-03:00,3.16
2026-08-18,2026-08-18 13:02:27.378000-03:00,3.432
2026-08-18,2026-08-18 13:02:30.825000-03:00,3.447
2026-08-18,2026-08-18 13:02:33.489000-03:00,2.664
2026-08-18,2026-08-18 13:02:38.401000-03:00,4.912
2026-08-18,2026-08-18 13:02:41.472000-03:00,3.071
2026-08-18,2026-08-18 13:02:43.849000-03:00,2.377
2026-08-18,2026-08-18 13:02:49.916000-03:00,6.067
2026-08-18,2026-08-18 13:02:53.559000-03:00,3.643
2026-08-18,2026-08-18 13:02:56.366000-03:00,2.807
2026-08-18,2026-08-18 13:02:59.116000-03:00,2.75
2026-08-18,2026-08-18 13:03:02.116000-03:00,3.0
2026-08-18,2026-08-18 13:03:04.092000-03:00,1.976
2026-08-18,2026-08-18 13:03:09.236000-03:00,5.144
2026-08-18,2026-08-18 13:03:13.148000-03:00,3.912
2026-08-18,2026-08-18 13:03:15.997000-03:00,2.849
2026-08-18,2026-08-18 13:03:21.292000-03:00,5.295
2026-08-18,2026-08-18 13:03:29.633000-03:00,8.341
2026-08-18,2026-08-18 13:03:31.478000-03:00,1.845
2026-08-18,2026-08-18 13:03:35.923000-03:00,4.445
2026-08-18,2026-08-18 13:03:39.253000-03:00,3.33
2026-08-18,2026-08-18 13:03:42.546000-03:00,3.293
2026-08-18,2026-08-18 13:03:45.344000-03:00,2.798
2026-08-18,2026-08-18 13:03:47.967000-03:00,2.623
2026-08-18,2026-08-18 13:03:54.747000-03:00,6.78
2026-08-18,2026-08-18 13:03:56.907000-03:00,2.16
2026-08-18,2026-08-18 13:04:01.030000-03:00,4.123
2026-08-18,2026-08-18 13:04:05.675000-03:00,4.645
2026-08-18,2026-08-18 13:04:08.698000-03:00,3.023
2026-08-18,2026-08-18 13:04:11.774000-03:00,3.076
2026-08-18,2026-08-18 13:04:14.973000-03:00,3.199
2026-08-18,2026-08-18 13:04:17.516000-03:00,2.543
2026-08-18,2026-08-18 13:04:19.253000-03:00,1.737
2026-08-18,2026-08-18 13:04:21.552000-03:00,2.299
2026-08-18,2026-08-18 13:04:24.214000-03:00,2.662
2026-08-18,2026-08-18 13:04:27.619000-03:00,3.405
2026-08-18,2026-08-18 13:04:30.425000-03:00,2.806
2026-08-18,2026-08-18 13:04:35.512000-03:00,5.087
2026-08-18,2026-08-18 13:04:38.067000-03:00,2.555
2026-08-18,2026-08-18 13:04:40.670000-03:00,2.603
2026-08-18,2026-08-18 13:04:42.629000-03:00,1.959
2026-08-18,2026-08-18 13:04:45.343000-03:00,2.714
2026-08-18,2026-08-18 13:04:47.918000-03:00,2.575
2026-08-18,2026-08-18 13:04:52.846000-03:00,4.928
2026-08-18,2026-08-18 13:04:55.877000-03:00,3.031
